 A K S O Y ,1986,  140 m X 16 m ,  5845 t ,  A8PG3 ,8624278,636013784
 A R T A ,1976,  118 m X 17 m ,  7952 t ,  8PRE ,7503491,314170000
 A R V I N ,1975,  114 m X 13 m ,  3509 t ,  9HOY5 ,8874316,248024000
 A S T R A ,1993,  85 m X 12 m ,  3570 t ,  V2PY2 ,9041318,304010285
 A.H. PARAGGI ,1983,  0 m X 0 m ,  1908 t ,  IXUG ,8120545,247373000
 A.H. PORTOFINO ,1983,  0 m X 0 m ,  1459 t ,  PPPT ,8123705,710000360
 A.H.CAMOGLI ,2008,  71 m X 18 m ,  3000 t ,  ICLS ,9385398,247237400
 A.H.GENOVA ,1979,  72 m X 15 m ,  2450 t ,  IXVX ,7805227,247372000
 A.H.GIORGIO P ,2007,  73 m X 16 m ,  2500 t ,  PPVV ,9379014,710003910
 A.H.LIGURIA ,2007,  0 m X 0 m ,  3000 t ,  ICIT ,9381495,247237300
 AACHEN ,2004,  106 m X 14 m ,  5780 t ,  V2BP8 ,9312676,304740000
 AAKEROY ,1998,  67 m X 12 m ,  1560 t ,  LAXI ,9182320,258590000
 AALAAE ,1974,  75 m X 11 m ,  2399 t ,  XUAW8 ,7413646,515116000
 AALAAE J ,1971,  89 m X 14 m ,  2453 t ,  CPB 824 ,7114800,720667000
 AASE MADSEN ,1977,  35 m X 10 m ,  250 t ,  OYTI2 ,7731751,219001461
 AASFJORD ,1978,  95 m X 15 m ,  3960 t ,  LAGZ5 ,7700001,259906000
 AASHEIM ,2001,  108 m X 15 m ,  5826 t ,  LAEN6 ,9247106,257563000
 AASLI ,1994,  0 m X 0 m ,  6630 t ,  LADQ6 ,9060778,257501000
 AASVIK ,1986,  94 m X 15 m ,  4319 t ,  LAPE5 ,8500898,257632000
 AB BILBAO ,1997,  90 m X 13 m ,  4212 t ,  V2BN4 ,9130200,304010877
 AB DUBLIN ,1997,  90 m X 13 m ,  4211 t ,  V2BL4 ,9135743,304010876
 AB VALENCIA ,1997,  90 m X 13 m ,  4211 t ,  V2ON7 ,9125695,304010875
 ABAI ,2005,  150 m X 17 m ,  11895 t ,  J8B3368 ,9334600,375342000
 ABBA ,1996,  174 m X 25 m ,  22948 t ,  EQUL ,9051624,422001000
 ABDULAZIZ ARAB ,1982,  193 m X 23 m ,  24113 t ,  HZBI ,7923548,403004000
 ABDULPRINCE ,1974,  152 m X 21 m ,  14200 t ,  V4CV ,7362445,341731000
 ABITBESER ,1979,  81 m X 0 m ,  3050 t ,  TCBD ,7802483,271002104
 ABRAMIS ,1982,  29 m X 9 m ,  156 t ,  LJSH ,8112196,259582000
 ABU DHABI ,1998,  276 m X 32 m ,  49844 t ,  A6OG ,9152258,470509000
 ABU ZENIMA ,1983,  133 m X 21 m ,  12402 t ,  SUDU ,7721392,622120324
 ACCIARELLO ,1997,  113 m X 19 m ,  1300 t ,  IBQZ ,9144691,247106900
 ACCURAT ,1993,  31 m X 10 m ,  209 t ,  DDNG ,9045869,211208340
 ACE BERJAYA ,1992,  104 m X 15 m ,  4993 t ,  9MIH5 ,9047300,533038900
 ACHILLE ONORATO ,2004,  3 m X 7 m ,  175 t ,  IQEX ,9285873,247108900
 ACHILLES II ,2004,  225 m X 32 m ,  75785 t ,  HPTS ,9269001,355491000
 ACHILLINO ONORATO ,1997,  32 m X 10 m ,  230 t ,  IVYZ ,9166429,247141000
 ACHTERGRACHT ,1990,  135 m X 19 m ,  12150 t ,  PCCL ,8821802,244601000
 ACQUAMARINA ,2003,  136 m X 20 m ,  12000 t ,  IBJJ ,9268631,247102500
 ACTION ,2007,  248 m X 44 m ,  114760 t ,  9HAU9 ,9346744,256697000
 ACX CRYSTAL ,2008,  223 m X 30 m ,  39000 t ,  DYUG ,9360611,548789000
 ACX JASMINE ,1996,  189 m X 30 m ,  30615 t ,  A8BI6 ,9122435,636090595
 ACX MARGUERITE ,1997,  193 m X 28 m ,  24386 t ,  3FUH7 ,9163441,351663000
 ACX PEARL ,2008,  223 m X 30 m ,  39000 t ,  3ETN4 ,9360623,370616000
 ADA D ,1984,  29 m X 10 m ,  163 t ,  PDGV ,8412821,246211100
 ADAMANTIOS KORAIS ,1987,  100 m X 17 m ,  1266 t ,  SVAE3 ,8613607,239410300
 ADAMAS ,2006,  124 m X 19 m ,  9000 t ,  SXYL ,9323120,240544000
 ADELE ,1991,  87 m X 13 m ,  3269 t ,  V2UE ,8912027,304010160
 ADELE C ,1994,  101 m X 17 m ,  5331 t ,  V2OY3 ,9083914,304010521
 ADI I ,1978,  148 m X 23 m ,  16324 t ,  9LB2225 ,7623100,667202900
 ADLER 7 ,1980,  40 m X 8 m ,  64 t ,  DJIP ,7928603,211205950
 ADLER VINETA ,1981,  53 m X 10 m ,  66 t ,  DIAD ,7904578,211209900
 ADMIRAL ,2002,  167 m X 26 m ,  23998 t ,  ZDFI5 ,9234616,236175000
 ADMIRAL SHABALIN ,1988,  107 m X 19 m ,  3372 t ,  UBAW ,8607165,273524300
 ADMIRALENGRACHT ,1990,  129 m X 19 m ,  12150 t ,  PCDE ,8811924,244599000
 ADRIAN MAERSK ,2004,  352 m X 42 m ,  109000 t ,  OXLD2 ,9260457,220245000
 ADRIANA III ,1972,  104 m X 15 m ,  1100 t ,  YJVM8 ,7118404,576485000
 ADRIATIC ARROW ,1973,  123 m X 20 m ,  9407 t ,  H8WW ,7231139,356484000
 ADRIATICA GRAECA ,2002,  225 m X 32 m ,  74133 t ,  P3HM9 ,9229635,209447000
 AEGEAN ACE ,1992,  75 m X 11 m ,  1680 t ,  SVA2290 ,9038232,240897000
 AEGEAN BREEZE 1 ,2004,  80 m X 12 m ,  2400 t ,  SVAE8 ,9314466,240871000
 AEGEAN DAISY ,1978,  105 m X 16 m ,  4935 t ,  SVAE7 ,7729007,240860000
 AEGEAN FALCON ,2000,  190 m X 32 m ,  50296 t ,  S6AG3 ,9227792,563865000
 AEGEAN HARMONY ,2007,  249 m X 44 m ,  116460 t ,  SZVD ,9338917,240633000
 AEGEAN III ,1990,  80 m X 14 m ,  3145 t ,  SXHY ,8817564,240708000
 AEGEAN LEGEND ,2000,  243 m X 42 m ,  105278 t ,  SWSV ,9200964,239699000
 AEGEAN NAVIGATOR ,2007,  274 m X 47 m ,  159040 t ,  SWBI ,9326809,240634000
 AEGEAN ODYSSEY ,1973,  140 m X 20 m ,  4174 t ,  SWEO ,7225910,237588000
